index,ZIPCODE,AGE,EJECTION,DRIVER_ACTION,BAC_RESULT,UNIT_TYPE,VEHICLE_YEAR,VEHICLE_TYPE,TRAVEL_DIRECTION,MANEUVER,FIRST_CONTACT_POINT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,STREET_DIRECTION,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR,FATAL_DEGREE,SEX,INTERSECTION_RELATED,HIT_AND_RUN,REPORTYPE,DAMAGE_COST,FATAL_COND
37180,60616,22.0,0.0,0.0,0.0,1,2016.0,1,1,1,1.0,30,1,1,1,4,1,1,1,1,0,1,2,0,7,5,2020,0.0,1,1,1,1,3,3
37247,60616,38.0,0.0,3.0,0.0,1,2001.0,-1,4,1,1.0,30,1,1,1,1,2,2,1,1,0,2,2,12,7,5,2020,3.0,1,1,1,1,3,4
37251,60616,48.0,0.0,0.0,0.0,1,2001.0,-1,4,1,1.0,30,1,1,1,1,2,2,1,1,0,2,2,12,7,5,2020,3.0,0,1,1,1,3,4
37252,60616,48.0,0.0,0.0,0.0,1,2008.0,3,6,2,3.0,30,1,1,1,1,2,2,1,1,0,2,2,12,7,5,2020,3.0,0,1,1,1,3,4
37551,60647,22.0,0.0,0.0,0.0,1,2020.0,3,1,1,6.0,30,1,1,1,1,1,1,1,2,0,3,2,11,6,5,2020,0.0,1,1,1,1,2,3
37678,60620,30.0,0.0,0.0,0.0,1,2010.0,1,3,1,-1.0,30,2,1,1,1,9,1,1,1,0,1,2,14,6,5,2020,1.0,1,1,1,1,1,2
37811,60101,33.0,0.0,0.0,0.0,1,2017.0,1,2,1,11.0,30,2,1,1,1,2,0,1,1,0,2,2,16,6,5,2020,0.0,1,1,1,1,3,3
37836,60625,50.0,0.0,0.0,0.0,1,2020.0,1,4,1,7.0,30,1,1,1,1,4,1,1,1,0,2,2,17,6,5,2020,0.0,1,1,1,1,2,3
37865,60445,19.0,-1.0,3.0,0.0,1,2007.0,6,3,1,6.0,30,1,1,1,1,1,1,1,1,0,1,2,15,6,5,2020,3.0,1,1,1,1,3,4
37866,60445,19.0,-1.0,3.0,0.0,1,2017.0,1,2,1,1.0,30,1,1,1,1,1,1,1,1,0,1,2,15,6,5,2020,3.0,1,1,1,1,3,4
37867,60617,18.0,0.0,0.0,0.0,1,2007.0,6,3,1,6.0,30,1,1,1,1,1,1,1,1,0,1,2,15,6,5,2020,3.0,1,1,1,1,3,4
