index,CITY,STATE,ZIPCODE,AGE,EJECTION,DRIVER_ACTION,BAC_RESULT,UNIT_TYPE,MAKE,MODEL,VEHICLE_YEAR,VEHICLE_TYPE,TRAVEL_DIRECTION,MANEUVER,FIRST_CONTACT_POINT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,STREET_DIRECTION,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR,FATAL_INBOTH,FATAL_CARPPL,FATAL_OTHPPL,FATAL_INAUTO,FATAL_DEGREE,DAMAGE_500_OR_LESS,DAMAGE_501_1500,DAMAGE_OVER_1500,SEX,INTERSECTION_RELATED,HIT_AND_RUN,REPORTYPE
111583,UNKNOWN,XX,0,36.0,0.0,1.0,0.0,1,20,94,2013.0,1,2,4,1.0,30,1,1,1,1,2,1,1,1,0,2,2,15,7,7,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,1,1,1,1
111584,CHICAGO,IL,60621,25.0,0.0,0.0,0.0,1,7,25,2019.0,1,4,1,1.0,30,1,1,1,1,2,1,1,1,0,2,2,15,7,7,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,1
111585,CHICAGO,IL,60621,25.0,0.0,0.0,0.0,1,20,94,2013.0,1,2,4,1.0,30,1,1,1,1,2,1,1,1,0,2,2,15,7,7,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,1
111728,CHICAGO,IL,60643,75.0,0.0,0.0,0.0,1,11,183,2011.0,1,4,1,9.0,35,1,1,1,1,7,2,1,1,0,2,2,16,7,7,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,0,1,1,1
111751,SOUTH_HOLLAND,IL,60473,43.0,0.0,0.0,0.0,1,10,1,2020.0,1,4,1,1.0,35,1,1,1,1,3,2,1,1,0,1,2,16,7,7,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,0,1,1,0
111752,SOUTH_HOLLAND,IL,60473,43.0,0.0,0.0,0.0,1,19,191,2010.0,2,4,1,2.0,35,1,1,1,1,3,2,1,1,0,1,2,16,7,7,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,0,1,1,0
112005,CHICAGO,IL,60643,36.9,0.0,3.0,0.0,1,6,63,2011.0,1,1,1,3.0,30,2,1,1,1,1,1,1,1,-1,2,2,17,7,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,0
112006,CHICAGO,IL,60643,36.9,0.0,3.0,0.0,1,4,5,2016.0,1,2,1,11.0,30,2,1,1,1,1,1,1,1,-1,2,2,17,7,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,0
112007,CHICAGO,IL,60643,36.9,0.0,3.0,0.0,1,6,63,2008.0,1,1,1,3.0,30,2,1,1,1,1,1,1,1,-1,2,2,17,7,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,0
112008,CHICAGO,IL,60643,36.9,0.0,3.0,0.0,1,4,5,2016.0,1,2,1,11.0,30,2,1,1,1,1,1,1,1,-1,2,2,17,7,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,0
112009,CHICAGO,IL,60643,25.0,0.0,1.0,0.0,1,6,63,2011.0,1,1,1,3.0,30,2,1,1,1,1,1,1,1,-1,2,2,17,7,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,0
112010,CHICAGO,IL,60643,25.0,0.0,1.0,0.0,1,4,5,2016.0,1,2,1,11.0,30,2,1,1,1,1,1,1,1,-1,2,2,17,7,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,0
112011,CHICAGO,IL,60643,25.0,0.0,1.0,0.0,1,6,63,2008.0,1,1,1,3.0,30,2,1,1,1,1,1,1,1,-1,2,2,17,7,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,0
112012,CHICAGO,IL,60643,25.0,0.0,1.0,0.0,1,4,5,2016.0,1,2,1,11.0,30,2,1,1,1,1,1,1,1,-1,2,2,17,7,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,0
112013,CHICAGO,IL,60643,24.0,0.0,3.0,0.0,1,6,63,2011.0,1,1,1,3.0,30,2,1,1,1,1,1,1,1,-1,2,2,17,7,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,0
112014,CHICAGO,IL,60643,24.0,0.0,3.0,0.0,1,4,5,2016.0,1,2,1,11.0,30,2,1,1,1,1,1,1,1,-1,2,2,17,7,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,0
112015,CHICAGO,IL,60643,24.0,0.0,3.0,0.0,1,6,63,2008.0,1,1,1,3.0,30,2,1,1,1,1,1,1,1,-1,2,2,17,7,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,0
112016,CHICAGO,IL,60643,24.0,0.0,3.0,0.0,1,4,5,2016.0,1,2,1,11.0,30,2,1,1,1,1,1,1,1,-1,2,2,17,7,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,0
112017,CHICAGO,IL,60643,25.0,0.0,1.0,0.0,1,6,63,2011.0,1,1,1,3.0,30,2,1,1,1,1,1,1,1,-1,2,2,17,7,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,0
112018,CHICAGO,IL,60643,25.0,0.0,1.0,0.0,1,4,5,2016.0,1,2,1,11.0,30,2,1,1,1,1,1,1,1,-1,2,2,17,7,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,0
112019,CHICAGO,IL,60643,25.0,0.0,1.0,0.0,1,6,63,2008.0,1,1,1,3.0,30,2,1,1,1,1,1,1,1,-1,2,2,17,7,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,0
112020,CHICAGO,IL,60643,25.0,0.0,1.0,0.0,1,4,5,2016.0,1,2,1,11.0,30,2,1,1,1,1,1,1,1,-1,2,2,17,7,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,0
112324,HARTSELLE,AL,35640,24.0,0.0,1.0,0.0,1,1,6,2018.0,1,3,1,5.0,35,1,1,1,2,7,1,1,1,0,1,2,1,7,7,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,0,1,1,1
112325,HARTSELLE,AL,35640,24.0,0.0,1.0,0.0,1,9,17,2013.0,1,1,3,5.0,35,1,1,1,2,7,1,1,1,0,1,2,1,7,7,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,0,1,1,1
112503,CHICAGO,IL,60622,36.0,-1.0,0.0,0.0,1,-1,1,2010.0,-1,3,-1,1.0,30,1,1,1,2,9,0,1,1,0,2,2,1,1,7,2020,0.0,0.0,0.0,1.0,1.0,0,1,0,1,1,1,1
112564,CHICAGO,IL,60622,36.0,0.0,8.0,0.0,1,19,90,2015.0,1,5,1,9.0,35,0,0,1,1,7,0,3,1,-1,4,2,13,4,7,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,1,1,1,1
112565,CHICAGO,IL,60624,51.0,0.0,0.0,0.0,1,3,1,2015.0,2,7,1,12.0,35,0,0,1,1,7,0,3,1,-1,4,2,13,4,7,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,1
112566,CHICAGO,IL,60624,51.0,0.0,0.0,0.0,1,19,90,2015.0,1,5,1,9.0,35,0,0,1,1,7,0,3,1,-1,4,2,13,4,7,2020,1.0,0.0,0.0,0.0,1.0,0,0,1,0,1,1,1
112601,DOLTON,IL,60419,24.0,0.0,0.0,0.0,1,3,40,2005.0,1,1,1,1.0,30,1,1,1,1,1,0,1,1,0,1,2,13,1,7,2020,0.0,1.0,0.0,0.0,0.0,0,1,0,0,1,1,0
112602,DOLTON,IL,60419,24.0,0.0,0.0,0.0,1,4,50,2014.0,2,2,1,8.0,30,1,1,1,1,1,0,1,1,0,1,2,13,1,7,2020,0.0,1.0,0.0,0.0,0.0,0,1,0,0,1,1,0
112744,CHICAGO,IL,60645,36.9,0.0,3.0,0.0,1,10,26,2011.0,1,1,1,4.0,30,1,1,1,3,2,2,1,1,0,2,2,0,2,7,2020,1.0,0.0,0.0,0.0,2.0,0,1,0,0,1,1,1
112745,CHICAGO,IL,60645,36.9,0.0,3.0,0.0,1,8,34,2019.0,1,1,2,4.0,30,1,1,1,3,2,2,1,1,0,2,2,0,2,7,2020,1.0,0.0,0.0,0.0,2.0,0,1,0,0,1,1,1
112746,CHICAGO,IL,60645,32.0,0.0,0.0,0.0,1,10,26,2011.0,1,1,1,4.0,30,1,1,1,3,2,2,1,1,0,2,2,0,2,7,2020,1.0,0.0,0.0,0.0,2.0,0,1,0,0,1,1,1
112747,CHICAGO,IL,60645,32.0,0.0,0.0,0.0,1,8,34,2019.0,1,1,2,4.0,30,1,1,1,3,2,2,1,1,0,2,2,0,2,7,2020,1.0,0.0,0.0,0.0,2.0,0,1,0,0,1,1,1
112762,MAYWOOD,IL,60153,49.0,0.0,0.0,0.0,1,2,71,2015.0,2,4,3,9.0,30,1,1,1,2,4,0,1,1,0,1,2,21,1,7,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,1,1,1,0
112763,MAYWOOD,IL,60153,49.0,0.0,0.0,0.0,1,9,37,2011.0,1,4,3,11.0,30,1,1,1,2,4,0,1,1,0,1,2,21,1,7,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,1,1,1,0
112826,CHICAGO,IL,60616,40.0,0.0,-1.0,0.0,1,16,199,2018.0,1,4,1,1.0,30,0,0,1,1,1,1,1,1,-1,2,3,13,1,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
112827,CHICAGO,IL,60616,40.0,0.0,-1.0,0.0,1,2,150,2001.0,1,3,1,1.0,30,0,0,1,1,1,1,1,1,-1,2,3,13,1,7,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,0,1,1,1
