index,LIGHTING_CONDITION,ROADWAY_SURFACE_COND,WEATHER_CONDITION,TRAVEL_DIRECTION,INTERSECTION_RELATED,TRAFFIC_CONTROL_DEVICE,FIRST_CONTACT_POINT,MANEUVER,HIT_AND_RUN,VEHICLE_TYPE,UNIT_TYPE,FATAL_COND,DAMAGE_COST,BAC_RESULT,SEX,FATAL_DEGREE,ZIPCODE,AGE,VEHICLE_YEAR,POSTED_SPEED_LIMIT,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR
126630,2,2,2,4,1,1,10,3,1,2,1,3,1,0,0,0,60628,28.0,2009.0,30,2,21,7,8,2020
126708,1,1,3,2,1,0,1,1,1,2,1,4,3,0,0,1,60613,36.0,2007.0,30,2,7,1,8,2020
126709,1,1,3,4,1,0,1,1,1,1,1,4,3,0,0,1,60613,36.0,1996.0,30,2,7,1,8,2020
126710,1,1,3,2,1,0,1,1,1,2,1,4,3,0,1,1,60613,42.0,2007.0,30,2,7,1,8,2020
126711,1,1,3,4,1,0,1,1,1,1,1,4,3,0,1,1,60613,42.0,1996.0,30,2,7,1,8,2020
126767,1,1,1,1,1,2,3,2,1,3,1,4,3,0,1,2,60613,36.9,2005.0,25,2,9,1,8,2020
126769,1,1,1,1,1,2,3,2,1,3,1,0,3,2,1,2,60657,46.0,2005.0,25,2,9,1,8,2020
126777,2,1,1,2,1,1,1,1,1,4,1,4,2,0,1,2,60657,36.9,2011.0,35,2,0,1,8,2020
126778,2,1,1,3,1,1,4,1,1,4,1,4,2,0,1,2,60657,36.9,2003.0,35,2,0,1,8,2020
126779,2,1,1,2,1,1,1,1,1,4,1,4,2,0,1,2,60628,36.9,2011.0,35,2,0,1,8,2020
126780,2,1,1,3,1,1,4,1,1,4,1,4,2,0,1,2,60628,36.9,2003.0,35,2,0,1,8,2020
126818,1,2,2,3,1,1,1,1,1,1,1,4,3,0,1,2,60639,31.0,1985.0,35,2,12,1,8,2020
126819,1,2,2,2,1,1,5,1,1,1,1,4,3,0,1,2,60639,31.0,2019.0,35,2,12,1,8,2020
126820,1,2,2,3,1,1,1,1,1,1,1,4,3,0,1,2,60621,45.0,1985.0,35,2,12,1,8,2020
126821,1,2,2,2,1,1,5,1,1,1,1,4,3,0,1,2,60621,45.0,2019.0,35,2,12,1,8,2020
126940,1,1,1,3,1,1,1,1,1,1,1,3,2,0,1,0,60467,40.0,2009.0,30,2,13,1,8,2020
126941,1,1,1,3,1,1,2,3,1,2,1,3,2,0,1,0,60467,40.0,2019.0,30,2,13,1,8,2020
127342,1,2,2,2,1,2,1,1,1,4,1,4,2,0,0,1,0,36.0,2010.0,30,2,18,1,8,2020
127343,1,2,2,2,1,2,2,3,1,1,1,4,2,0,0,1,0,36.0,2015.0,30,2,18,1,8,2020
127344,1,2,2,2,1,2,1,1,1,4,1,4,2,0,0,1,60629,42.0,2010.0,30,2,18,1,8,2020
127345,1,2,2,2,1,2,2,3,1,1,1,4,2,0,0,1,60629,42.0,2015.0,30,2,18,1,8,2020
127458,2,2,1,1,1,1,-1,1,1,-1,1,4,3,0,0,1,0,36.0,2018.0,30,2,21,1,8,2020
127459,2,2,1,4,1,1,7,1,1,5,1,4,3,0,0,1,0,36.0,2007.0,30,2,21,1,8,2020
127460,2,2,1,1,1,1,-1,1,1,-1,1,4,3,0,0,1,60104,57.0,2018.0,30,2,21,1,8,2020
127461,2,2,1,4,1,1,7,1,1,5,1,4,3,0,0,1,60104,57.0,2007.0,30,2,21,1,8,2020
127529,1,1,1,1,1,1,4,1,1,1,1,3,2,0,0,0,60068,47.0,2019.0,30,2,10,7,7,2020
127551,1,1,1,4,1,2,1,1,1,1,1,4,3,0,1,3,60068,38.0,2010.0,30,2,10,7,7,2020
127552,1,1,1,6,1,2,11,1,1,1,1,4,3,0,1,3,60068,38.0,2009.0,30,2,10,7,7,2020
127553,1,1,1,4,1,2,1,1,1,1,1,4,3,0,1,3,60016,69.0,2010.0,30,2,10,7,7,2020
127554,1,1,1,6,1,2,11,1,1,1,1,4,3,0,1,3,60016,69.0,2009.0,30,2,10,7,7,2020
127675,2,1,1,3,1,1,5,1,0,2,1,4,3,0,0,2,60016,36.9,2000.0,30,2,3,7,7,2020
127676,2,1,1,2,1,1,1,4,0,1,1,4,3,0,0,2,60016,36.9,2015.0,30,2,3,7,7,2020
127677,2,1,1,3,1,1,5,1,0,2,1,4,3,0,0,2,60016,36.9,2000.0,30,2,3,7,7,2020
127678,2,1,1,4,1,1,1,-1,0,-1,1,4,3,0,1,2,60629,48.0,2011.0,30,2,3,7,7,2020
127679,2,1,1,3,1,1,5,1,0,2,1,4,3,0,1,2,60629,48.0,2000.0,30,2,3,7,7,2020
127680,2,1,1,2,1,1,1,4,0,1,1,4,3,0,1,2,60629,48.0,2015.0,30,2,3,7,7,2020
127681,2,1,1,3,1,1,5,1,0,2,1,4,3,0,1,2,60629,48.0,2000.0,30,2,3,7,7,2020
127682,2,1,1,4,1,1,1,-1,0,-1,1,4,3,0,0,2,60466,28.0,2011.0,30,2,3,7,7,2020
127683,2,1,1,3,1,1,5,1,0,2,1,4,3,0,0,2,60466,28.0,2000.0,30,2,3,7,7,2020
127684,2,1,1,2,1,1,1,4,0,1,1,4,3,0,0,2,60466,28.0,2015.0,30,2,3,7,7,2020
127685,2,1,1,3,1,1,5,1,0,2,1,4,3,0,0,2,60466,28.0,2000.0,30,2,3,7,7,2020
127686,2,1,1,4,1,1,1,-1,0,-1,1,4,3,0,1,2,60629,48.0,2011.0,30,2,3,7,7,2020
127687,2,1,1,3,1,1,5,1,0,2,1,4,3,0,1,2,60629,48.0,2000.0,30,2,3,7,7,2020
127688,2,1,1,2,1,1,1,4,0,1,1,4,3,0,1,2,60629,48.0,2015.0,30,2,3,7,7,2020
127689,2,1,1,3,1,1,5,1,0,2,1,4,3,0,1,2,60629,48.0,2000.0,30,2,3,7,7,2020
127760,1,1,3,1,1,1,1,1,1,2,1,4,2,0,0,3,60016,38.0,2004.0,30,2,15,7,7,2020
127762,1,1,3,1,1,1,1,1,1,2,1,2,2,0,0,3,60629,52.0,2004.0,30,2,15,7,7,2020
127980,1,1,1,1,1,1,6,2,1,1,1,4,3,0,0,2,60617,36.9,2011.0,30,2,19,7,7,2020
127982,1,1,1,1,1,1,6,2,1,1,1,2,3,0,0,2,60616,21.0,2011.0,30,2,19,7,7,2020
128144,2,1,1,3,1,2,1,1,1,1,1,4,1,0,0,2,60651,36.9,2017.0,30,2,22,7,7,2020
128145,2,1,1,3,1,2,2,7,1,1,1,4,1,0,0,2,60651,36.9,1994.0,30,2,22,7,7,2020
128146,2,1,1,3,1,2,1,1,1,1,1,4,1,0,0,2,60634,26.0,2017.0,30,2,22,7,7,2020
128147,2,1,1,3,1,2,2,7,1,1,1,4,1,0,0,2,60634,26.0,1994.0,30,2,22,7,7,2020
128158,2,1,1,2,1,1,3,3,1,2,1,4,3,0,1,1,60634,36.0,2010.0,30,2,20,7,7,2020
128159,2,1,1,2,1,1,10,3,1,2,1,4,3,0,1,1,60634,36.0,2000.0,30,2,20,7,7,2020
128160,2,1,1,2,1,1,3,3,1,2,1,4,3,0,0,1,60628,20.0,2010.0,30,2,20,7,7,2020
128161,2,1,1,2,1,1,10,3,1,2,1,4,3,0,0,1,60628,20.0,2000.0,30,2,20,7,7,2020
128177,5,1,1,2,1,1,4,4,1,2,1,3,3,0,1,0,60610,62.0,2016.0,30,2,5,7,7,2020
128655,1,2,1,3,1,0,1,1,1,1,1,4,1,0,1,2,60610,36.9,2002.0,35,2,16,1,8,2020
128656,1,2,1,3,1,0,2,1,1,2,1,4,1,0,1,2,60610,36.9,2009.0,35,2,16,1,8,2020
128657,1,2,1,3,1,0,1,1,1,1,1,4,1,0,1,2,60501,41.0,2002.0,35,2,16,1,8,2020
128658,1,2,1,3,1,0,2,1,1,2,1,4,1,0,1,2,60501,41.0,2009.0,35,2,16,1,8,2020
128763,1,2,2,2,1,2,6,1,1,1,1,3,2,0,1,0,60056,40.0,2017.0,30,2,19,1,8,2020
128894,1,1,1,4,0,1,-1,-1,1,-1,1,4,1,0,0,2,60637,36.9,2011.0,30,2,6,2,8,2020
128896,1,1,1,4,0,1,-1,-1,1,-1,1,2,1,0,1,2,60637,56.0,2011.0,30,2,6,2,8,2020
129077,1,1,1,3,1,0,1,1,1,1,1,4,3,0,0,1,60637,36.0,2010.0,30,2,12,2,8,2020
129078,1,1,1,4,1,0,6,1,1,1,1,4,3,0,0,1,60637,36.0,2008.0,30,2,12,2,8,2020
129079,1,1,1,3,1,0,1,1,1,1,1,4,3,0,1,1,60402,36.0,2010.0,30,2,12,2,8,2020
129080,1,1,1,4,1,0,6,1,1,1,1,4,3,0,1,1,60402,36.0,2008.0,30,2,12,2,8,2020
