,index,CITY,STATE,ZIPCODE,AGE,EJECTION,DRIVER_ACTION,BAC_RESULT,UNIT_TYPE,MAKE,MODEL,VEHICLE_YEAR,VEHICLE_TYPE,TRAVEL_DIRECTION,MANEUVER,FIRST_CONTACT_POINT,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,STREET_DIRECTION,NUM_UNITS,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,CRASH_YEAR,FATAL_INBOTH,FATAL_CARPPL,FATAL_OTHPPL,FATAL_INAUTO,FATAL_DEGREE,DAMAGE_500_OR_LESS,DAMAGE_501_1500,DAMAGE_OVER_1500,SEX,INTERSECTION_RELATED,HIT_AND_RUN,REPORTYPE
1596,75190,CHICAGO,IL,60625,41.0,0.0,0.0,0.0,1,4,5,2011.0,1,4,1,1.0,30,1,1,5,3,1,0,1,2,0,1,2,1,1,6,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,1
1597,75191,CHICAGO,IL,60625,41.0,0.0,0.0,0.0,1,3,28,2019.0,2,3,1,7.0,30,1,1,5,3,1,0,1,2,0,1,2,1,1,6,2020,1.0,0.0,0.0,0.0,2.0,0,0,1,1,1,1,1
1598,75329,CHICAGO,IL,60632,23.0,0.0,0.0,0.0,1,7,10,2016.0,1,1,3,1.0,30,1,0,2,3,6,2,1,2,0,1,2,0,1,6,2020,0.0,1.0,0.0,0.0,0.0,1,0,0,1,1,1,0
1599,75374,CHICAGO,IL,60632,49.0,0.0,0.0,0.0,1,7,87,2004.0,2,6,3,3.0,30,1,1,1,1,1,1,1,1,0,1,2,8,1,6,2020,0.0,1.0,0.0,0.0,0.0,0,0,1,1,1,1,1
1600,75413,UNKNOWN,XX,0,36.9,0.0,2.0,0.0,1,-1,1,2011.0,3,3,1,1.0,35,2,1,1,1,5,0,2,1,0,1,2,10,1,6,2020,1.0,0.0,0.0,0.0,2.0,1,0,0,0,1,1,1
1601,75415,CHICAGO,IL,60617,40.0,-1.0,0.0,2.0,1,-1,1,2011.0,3,3,1,1.0,35,2,1,1,1,5,0,2,1,0,1,2,10,1,6,2020,0.0,0.0,0.0,0.0,2.0,1,0,0,1,1,1,1
1602,75558,UNKNOWN,XX,0,36.0,-1.0,2.0,0.0,1,-1,88,2010.0,1,1,1,1.0,30,2,1,1,1,9,2,1,1,0,2,2,13,1,6,2020,1.0,0.0,0.0,0.0,1.0,0,1,0,1,1,1,1
1603,75560,CHICAGO,IL,60609,56.0,-1.0,-1.0,0.0,1,-1,88,2010.0,1,1,1,1.0,30,2,1,1,1,9,2,1,1,0,2,2,13,1,6,2020,0.0,0.0,0.0,1.0,1.0,0,1,0,1,1,1,1
1604,75858,CHICAGO,IL,60106,38.0,0.0,7.0,0.0,1,-1,1,2010.0,6,1,6,-1.0,30,0,0,1,1,4,0,1,2,0,1,2,16,1,6,2020,1.0,0.0,0.0,0.0,3.0,0,0,1,0,1,1,0
1605,75859,CHICAGO,IL,60106,38.0,0.0,7.0,0.0,1,24,1,2007.0,1,1,1,5.0,30,0,0,1,1,4,0,1,2,0,1,2,16,1,6,2020,1.0,0.0,0.0,0.0,3.0,0,0,1,0,1,1,0
1606,75860,CHICAGO,IL,60649,40.0,0.0,-1.0,0.0,1,-1,1,2010.0,6,1,6,-1.0,30,0,0,1,1,4,0,1,2,0,1,2,16,1,6,2020,1.0,0.0,0.0,0.0,3.0,0,0,1,1,1,1,0
1607,75861,CHICAGO,IL,60649,40.0,0.0,-1.0,0.0,1,24,1,2007.0,1,1,1,5.0,30,0,0,1,1,4,0,1,2,0,1,2,16,1,6,2020,1.0,0.0,0.0,0.0,3.0,0,0,1,1,1,1,0
1608,75951,CHICAGO,IL,60636,27.0,0.0,0.0,0.0,1,7,25,2018.0,1,1,1,5.0,35,1,1,1,1,1,5,1,1,0,2,2,17,1,6,2020,1.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,1
